domains,counts
mycofactocin,665
Mycofactocin_RRE,643
mycofact_rSAM,615
actino_HemFlav,491
mycofact_glyco,458
mycofact_creat,454
mycofact_TetR,413
SDR_subfam_1,288
Rv0697,208
SDR_subfam_2,159
Pyr_redox_2~Reductase_C,115
mycofact_OYE_2,105
NDMA_methanol,93
PA_CoA_Oxy5,84
VWA_CoxE,83
mycofact_OYE_1,82
Fe-ADH,72
efflux_EmrB,71
Rxyl_3153,69
Response_reg~GerE,69
CoA_transf_3,57
Glyoxalase_6,55
Sig70_famx2,53
DNA_alkylation,52
Methyltransf_11,52
adh_short_C2,51
Aldedh,50
CYP450_TxtE,49
DUF2332,44
Pyr_redox_2,44
DDAH_eukar,41
TetR_N,38
GMC_mycofac_2,38
mft_etfB,38
AMP-binding~AMP-binding_C,37
TetR_N~TetR_C_11,35
Pyrid_ox_like,33
Orn_aminotrans,32
ETF~ETF_alpha,30
ECH_1,30
cyc_hxne_CoA_dh,29
HisKA_3,29
Peripla_BP_2,27
Methyltransf_25,26
GG-red-SF,25
glut_race,24
DoxX_3,22
AAA_5,22
pcaR_pcaU,22
Polyketide_cyc2,21
Fer4_2~Fer4,21
SnoaL_2,20
TetR_N~mycofact_TetR,20
drrA,20
Amidohydro_2,19
ETF_alpha,19
FAD_binding_3,19
AAA_5~MCM,18
P450_cycloAA_1,18
SPW,18
Mycofactocin_RRE~mycofact_rSAM,18
am_tr_V_VC1184,17
efflux_Bcr_CflA,17
CO_dehy_Mo_lg,17
betA,16
Usp,16
adh_short,15
EF-Tu,15
HisKA_3~HATPase_c_2,15
EF-G,15
COesterase,15
Rv1155_F420,15
Asp_Glu_race,15
VWA_2,14
Aldo_ket_red,14
mycofact_TetR~HTH_23,14
Phosphodiest,14
adk,14
4hydroxCoAred,13
protocat_pcaD,13
HTH_AsnC-type~MarR~Sigma70_r4,13
AcCoA-C-Actrans,13
MFS_1,12
Ac_CoA_lig_AcsA,12
AAA_5~CbbQ_C,12
SEC-C~UPF0225,12
AHSA1,12
HTH_1~LysR_substrate,12
P450_rel_GT_act,12
Transp_cyt_pur,12
GAF,11
Abhydrolase_6,11
TetR_N~TetR_C_1,11
MaoC_dehydratas,11
DUF4442,11
Creatininase,11
ETF,11
PGDH,10
BPD_transp_2,10
Beta-lactamase,10
Acetyltransf_1,10
Ribonuc_L-PSP,10
APH,10
mycofact_MftB,10
gas_vesic_GvpN,10
AAA_5~AAA,10
GG-red-SF~DAO,10
DUF779,9
phnR_burk,9
NUDIX,9
Glyoxalase,9
Flavin_Reduct,9
FAD_binding_5~CO_deh_flav_C,9
quinone_pig3,9
rpsJ_bact,9
PhyH,8
mycofact_TetR~TetR_N,8
nickel_nikB,8
2A0306,8
Peripla_BP_6,8
Gpr1_Fun34_YaaH,8
PE,8
Amidohydro_3,8
Isochorismatase,8
greA,8
TetR_C_1,8
Isochorismatase~PqqA,8
HisKA_3~HATPase_c,8
VWA_2~marine_srt_targ,8
MbtH,8
DUF222~HNH,7
HIBADH,7
MmgE_PrpD~MmgE_PrpD_C,7
2A0106,7
EutB,7
Abhydrolase_1,7
nickel_nikC,7
DUF5826~SHOCT,7
Response_reg~HTH_38~GerE,7
FeFe_hydrog_B1,7
GGDEF,7
TetR_N~betaine_BetI,7
Methyltransf_19,7
BPD_transp_1,7
FA_desaturase,7
tdh,7
CobN-Mg_chel,7
malic~Malic_M,7
GerE,7
3oxo_ACP_reduc,7
Bac_luciferase,7
HTH_20,7
DUF222,7
nickel_nikD,6
RskA,6
HTH_AsnC-type~AsnC_trans_reg,6
Voltage_CLC,6
nickel_nikE,6
DUF952,6
ABM,6
SigE-fam_strep,6
DSBA,6
DUF1707,6
TetR_N~TetR_C_33,6
TetR_N~TetR_C_31,6
TetR_N~TetR_C_24,6
AFOR_N~AFOR_C,6
TetR_C_24,6
ilvD,6
MaoC_dehydrat_N,6
COXG,6
Sirohm_synth_M~Glyoxalase_6,6
AAA_5~TsaE,6
Abhydrolase_3,6
2A0305,6
PhnU2,5
NUDIX~NYN_YacP,5
Amidase,5
LysR_substrate,5
PaaC-3OHAcCoADH,5
L3_bact,5
PA_CoA_ligase,5
TetR_N~TetR_C_6,5
HxlR,5
decarb_PcaC,5
Trans_reg_C,5
AA_permease_2,5
Fer4_15,5
Fer4_13,5
FecCD,5
citE,5
AAA_5~AAA_30,5
TetR_N~RutR,5
EAL,5
DoxX_3~DoxX,5
npdG,5
Cupin_2,5
prpB,5
rpsG_bact,5
ABC2_membrane~drrC,5
Meth_synt_2,5
SBP_bac_5,5
HTH_AsnC-type~HTH_Tnp_ISL3~AsnC_trans_reg~MarR_2,5
GG-red-SF~Pyr_redox,5
TIGR00147,5
His_Phos_1,5
Hemerythrin,5
RibD_C,5
SPW~IPTL_CTERM,5
DJ-1_PfpI,4
Hydrolase_4,4
DUF362,4
DUF397,4
DUF418,4
DUF664,4
DoxX_2,4
MR_MLE_N~MR_MLE_C,4
G3P_acyltransf,4
HTH_31,4
Lactamase_B,4
EamA,4
LCM,4
EutC,4
F420_MSMEG_2249,4
FAD_binding_2,4
LIP,4
HATPase_c_2,4
BioC~Methyltransf_11,4
Glycos_transf_2,4
Flavodoxin_2,4
MFS_1~2_A_01_02,4
/NonD,4
Methyltransf_11~Methyltransf_23,4
efflux_EmrB~MFS_1,4
Rieske~KshA_C,4
SGL,4
SHOCT,4
Sortase,4
T7SS_ESX_EspC,4
TRX_reduct,4
TetR_C_33,4
TetR_N~TetR_C_30,4
Thiolase_N,4
Transp_cyt_pur~thia_cytX,4
ccpA,4
AAA_5~26Sp45,4
ROK_glcA_fam,4
mycofact_TetR~HTH_7,4
4HBT_2,4
4HBT,4
pimC_large,4
proV,4
pucE,4
recomb_XerC,4
sda_mono,4
sixA,4
2A0121,4
xylG,4
Rce1-like,4
Thioesterase,4
PIN,4
Acyl-CoA_dh_N~Acyl-CoA_dh_M~Acyl-CoA_dh_1,4
D-hydantoinase,4
Pyridox_ox_2,4
Amino_oxidase,4
ROK,3
DUF952~Acetyltransf_1,3
DUF952~Acetyltransf_6~Acetyltransf_1,3
DinB_2,3
DoxX,3
mycofact_rSAM~rSAM_BlsE,3
mycofact_rSAM~SCM_rSAM_ScmE,3
Lipase_GDSL_2,3
mycofact_TetR~HTH_29,3
menE,3
PaaN-DH,3
heli_sec_ATPase,3
ntrB,3
fvmX3~VWA_CoxE,3
fkbM_fam,3
fabH,3
